n,points,E,Em,E_1.5,E_lim,A,Am,A_1.5,A_lim
0,100,1.721130265600000,1.679346560000000,1.686642150400000,3.914522794518161,-0.753120000000000,-0.031200000000000,-0.051360000000000,0.034366688589323
1,200,1.696225854400000,1.655858630400000,1.665276721600000,3.812319269871948,-0.791160000000000,-0.017360000000000,-0.029720000000000,0.000067368238533
2,300,1.693801369600000,1.635447634488889,1.644545511980247,3.829356648275977,-0.792853333333333,-0.001120000000000,-0.010595555555556,0.003854987738660
