n,points,Eb,Ab
0,100,0.1169690584,0.3732105883
1,200,0.1205742980,0.3742948600
2,300,0.1222802037,0.3747931321
3,400,0.1207908489,0.3740321702
4,500,0.1214130133,0.3744528021
5,600,0.1216090472,0.3744590476
6,700,0.1216900819,0.3743464103
7,800,0.1211835389,0.3743751328
8,900,0.1211683974,0.3742570518
9,1000,0.1212753301,0.3743875260
