n,points,E,Em,E_1_5,A,Am,A_1_5
0,100,0.0361133770,0.0108825802,0.0120912279,-0.0038240000,-0.0054240000,-0.0060640000
1,200,0.0245820063,0.0055364045,0.0060867584,-0.0014120000,-0.0027560000,-0.0030400000
2,300,0.0199489478,0.0036766144,0.0040527743,-0.0011288889,-0.0018400000,-0.0020284444
3,400,0.0172713407,0.0028919293,0.0031874560,-0.0008120000,-0.0014390000,-0.0015950000
4,500,0.0152445219,0.0021837665,0.0023960031,-0.0005273600,-0.0010924800,-0.0011987200
5,600,0.0142832591,0.0018356062,0.0020274158,-0.0005444444,-0.0009155556,-0.0010142222
6,700,0.0131564452,0.0015491149,0.0017024585,-0.0003552653,-0.0007742041,-0.0008515918
7,800,0.0122938715,0.0013400521,0.0014659623,-0.0003585000,-0.0006692500,-0.0007332500
8,900,0.0115368588,0.0012724843,0.0013853964,-0.0003589136,-0.0006360494,-0.0006929383
9,1000,0.0109957720,0.0011596643,0.0012696767,-0.0002608000,-0.0005793600,-0.0006350400
