n,points,E,Em,E_1_5,Eb,A,Am,A_1_5,Ab
0,100,0.3720988611,0.3718285957,0.3723135078,0.2182442409,0.7367154515,0.7383957197,0.7380254736,0.8284743674
1,110,0.3804315839,0.3803321234,0.3808096585,0.1954322564,0.7325551301,0.7345154757,0.7341221522,0.7794301416
2,120,0.3957674854,0.3957384098,0.3962183450,0.1785717847,0.7393946948,0.7409473129,0.7406472493,0.7290608895
3,130,0.4061473026,0.4067140478,0.4071840850,0.1574751095,0.7372482210,0.7391417359,0.7388250055,0.6800425045
4,140,0.4194989573,0.4195653867,0.4199248247,0.1389078518,0.7317744438,0.7329268488,0.7325870194,0.6345931049
5,150,0.4223406888,0.4222156451,0.4226184113,0.1232470655,0.7386580601,0.7398942900,0.7396001333,0.5904656136
6,160,0.4332470806,0.4332589134,0.4336363788,0.1073257265,0.7404013006,0.7416984334,0.7414217115,0.5525790082
7,170,0.4411934119,0.4410875783,0.4414772839,0.0929421599,0.7402225322,0.7411973174,0.7409431048,0.5156266083
8,180,0.4491140864,0.4489993242,0.4493534055,0.0813032533,0.7424204036,0.7433885476,0.7431252566,0.4820060626
9,190,0.4534960978,0.4532854258,0.4535936638,0.0715792228,0.7422264563,0.7431796468,0.7429117525,0.4526916446
10,200,0.4606571712,0.4608542189,0.4611614588,0.0622187906,0.7392982416,0.7403777300,0.7401314883,0.4255718914
