n,points,E,Em,E_1.5,Enm,A,Am,A_1.5,Anm
0,100,0.9067064064,0.9089409024,0.9084574464,0.8945049600,-0.3054400000,0.3017600000,0.3025600000,0.3248000000
1,200,0.9052345344,0.9045931456,0.9053330176,0.8933846896,-0.3078400000,0.3088800000,0.3076800000,0.3265200000
2,300,0.8995588965,0.8965162588,0.8972127902,0.8933817872,-0.3169244444,0.3216888889,0.3206044444,0.3265244444
3,400,0.9009827911,0.8951665116,0.8956257751,0.8956386975,-0.3146700000,0.3237800000,0.3230700000,0.3230500000
