n,points,E,Em,E_1_5,A,Am,A_1_5
0,100,0.0100779910,0.0000161496,0.0000001161,0.0903703409,0.0013142474,0.0003113229
1,200,0.0100336279,0.0000044789,0.0000000267,0.0935227199,0.0007862605,0.0001652098
2,300,0.0100605104,0.0000021825,0.0000000118,0.0951174721,0.0005564168,0.0001135287
3,400,0.0101229683,0.0000012865,0.0000000066,0.0955339160,0.0004341290,0.0000861422
4,500,0.0101256313,0.0000008643,0.0000000042,0.0955900861,0.0003533420,0.0000692330
5,600,0.0100952792,0.0000006086,0.0000000029,0.0957158421,0.0002963517,0.0000578621
6,700,0.0101290954,0.0000004559,0.0000000021,0.0960040389,0.0002560194,0.0000497969
7,800,0.0101195917,0.0000003550,0.0000000016,0.0960472847,0.0002255421,0.0000436979
8,900,0.0101272296,0.0000002839,0.0000000013,0.0961223157,0.0002016565,0.0000389189
9,1000,0.0101286378,0.0000002319,0.0000000010,0.0962642490,0.0001822249,0.0000351131
