n,points,E,Em,E_1.5,Enm,A,Am,A_1.5,Anm
0,100,0.9984633600,0.9999078400,0.9953104896,0.9941263104,-0.0392000000,-0.0096000000,0.0684800000,0.0766400000
1,200,0.9992774656,0.9999995376,0.9974274816,0.9965378544,-0.0268800000,-0.0006800000,0.0507200000,0.0588400000
