n,points,E,Em,E_1_5,Eb,A,Am,A_1_5,Ab
0,100,0.1560002931,0.1578019176,0.1573146002,0.1570872175,0.3170850466,0.3177509535,0.3199641450,0.3190729455
1,110,0.1529899232,0.1546867019,0.1541608936,0.1539549093,0.3136751073,0.3146144713,0.3163743853,0.3156090641
2,120,0.1589116311,0.1607968381,0.1602788115,0.1600668156,0.3165998636,0.3174669762,0.3192505902,0.3184996168
3,130,0.1611700109,0.1632115207,0.1626256643,0.1624545210,0.3157422650,0.3167503867,0.3182648208,0.3176010077
4,140,0.1618004430,0.1638757364,0.1633970413,0.1632297028,0.3158811119,0.3167893330,0.3183076931,0.3176856333
5,150,0.1625087904,0.1638701678,0.1632645993,0.1631331151,0.3157283393,0.3160796608,0.3174931641,0.3169023572
6,160,0.1647899826,0.1658730427,0.1655902819,0.1654052194,0.3196740792,0.3200319720,0.3214231078,0.3208495007
7,170,0.1649415851,0.1660668351,0.1657051854,0.1655577430,0.3146428835,0.3147832440,0.3161027885,0.3155787828
8,180,0.1639219304,0.1653754784,0.1650703924,0.1649004334,0.3147115094,0.3155030498,0.3167036527,0.3162015272
9,190,0.1668101092,0.1685107935,0.1681412663,0.1680052682,0.3143246037,0.3150881181,0.3161937758,0.3157325538
10,200,0.1673074178,0.1684508876,0.1681075459,0.1679742354,0.3132437066,0.3131985391,0.3142731636,0.3138263711
