n,points,E,Em,E_1_5,Eb,A,Am,A_1_5,Ab
0,100,0.3720988611,0.3718285957,0.3723135078,0.3725302056,0.7367154515,0.7383957197,0.7380254736,0.7376152259
1,200,0.4606571712,0.4608542189,0.4611614588,0.4612761919,0.7392982416,0.7403777300,0.7401314883,0.7399412895
2,300,0.5007015559,0.5007444374,0.5010104578,0.5010817551,0.7371244225,0.7377771592,0.7376206797,0.7374800635
3,400,0.5327870902,0.5328689319,0.5330562075,0.5331160604,0.7413103734,0.7418238160,0.7416928974,0.7415933679
4,500,0.5518471037,0.5520136831,0.5521668507,0.5522137981,0.7413536814,0.7417958716,0.7416863780,0.7416053471
5,600,0.5661856343,0.5663101188,0.5664402078,0.5664806400,0.7415372081,0.7419268100,0.7418326586,0.7417651529
6,700,0.5771562598,0.5771060447,0.5772203740,0.5772573172,0.7409410225,0.7412068479,0.7411265135,0.7410698323
7,800,0.5880067781,0.5880796009,0.5881835621,0.5882184719,0.7404496380,0.7407246464,0.7406542039,0.7406059462
8,900,0.5955209796,0.5954922826,0.5955904933,0.5956162253,0.7406137234,0.7408124303,0.7407532598,0.7407081365
9,1000,0.6046108382,0.6046568176,0.6047458778,0.6047709889,0.7413811382,0.7415717675,0.7415170048,0.7414765956
