n,points,E,Em,E_1_5,A,Am,A_1_5
0,100,0.0004799916,0.0000636237,0.0000199735,0.0009511460,0.0018033764,-0.0012120482
1,200,0.0003968249,0.0000273503,0.0000082016,0.0003889653,0.0010042924,-0.0006417917
2,300,0.0003412938,0.0000164239,0.0000046463,0.0002105938,0.0006595323,-0.0004189116
3,400,0.0003012372,0.0000113507,0.0000032023,0.0002484152,0.0005129424,-0.0003209152
4,500,0.0002762920,0.0000083027,0.0000023143,0.0001428677,0.0004005115,-0.0002529413
5,600,0.0002619149,0.0000065196,0.0000018130,0.0001365437,0.0003338283,-0.0002120109
6,700,0.0002360966,0.0000052148,0.0000014481,0.0001363870,0.0002829120,-0.0001788729
7,800,0.0002259554,0.0000043456,0.0000012058,0.0001012099,0.0002481249,-0.0001567297
8,900,0.0002134533,0.0000037267,0.0000010297,0.0000963208,0.0002215510,-0.0001393375
9,1000,0.0002021570,0.0000031869,0.0000008656,0.0001040042,0.0001983707,-0.0001236886
