n,points,Eb,Ab
0,100,0.0955516848,0.3423323263
1,200,0.0964655104,0.3412182911
2,300,0.0990568030,0.3428210401
3,400,0.0987356049,0.3438831988
4,500,0.0987083192,0.3434504258
5,600,0.0989103828,0.3433801727
6,700,0.0991452491,0.3431764389
7,800,0.0988315857,0.3433764312
8,900,0.0985850815,0.3428301345
9,1000,0.0988429141,0.3434293820
