n,points,E,Em,E_1_5,Eb,A,Am,A_1_5,Ab
0,100,0.5923453696,0.0402704384,0.0121230336,0.1202719015,0.3595200000,-0.0070400000,0.0060800000,0.3729254212
1,200,0.6009298416,0.0175110000,0.0064695024,0.1189324280,0.3682800000,-0.0030000000,0.0032400000,0.3726553253
2,300,0.6018782613,0.0120121028,0.0033750443,0.1207186806,0.3690311111,-0.0023822222,0.0016533333,0.3755995516
3,400,0.5988297756,0.0081161584,0.0023186544,0.1199015114,0.3666200000,-0.0019600000,0.0011600000,0.3740940753
4,500,0.6028136764,0.0068846279,0.0020341645,0.1211859839,0.3697728000,-0.0013312000,0.0010176000,0.3737273822
5,600,0.6050184761,0.0060425216,0.0016704130,0.1197596865,0.3715244444,-0.0013866667,0.0008355556,0.3736313547
6,700,0.6065218499,0.0051907517,0.0015014768,0.1208240939,0.3727216327,-0.0010416327,0.0007510204,0.3742701319
7,800,0.6073097775,0.0046738064,0.0013295644,0.1214045651,0.3733500000,-0.0010925000,0.0006600000,0.3744495637
8,900,0.6046031075,0.0039381628,0.0012006271,0.1207207782,0.3711940741,-0.0007762963,0.0006004938,0.3738980527
9,1000,0.6065940680,0.0037016340,0.0010429346,0.1210865689,0.3727792000,-0.0008752000,0.0005152000,0.3736135877
