n,points,E,Em,E_1_5,A,Am,A_1_5
0,100,0.0084105020,0.0001044474,0.0000051283,0.0013180292,-0.0003233729,-0.0000616208
1,200,0.0079622642,0.0000550683,0.0000026135,0.0012047660,-0.0002231926,-0.0000364527
2,300,0.0075406295,0.0000397804,0.0000018146,0.0011654496,-0.0001455475,-0.0000271053
3,400,0.0074954748,0.0000311335,0.0000014124,0.0006231493,-0.0000979056,-0.0000200237
4,500,0.0073939140,0.0000258294,0.0000011531,0.0004288408,-0.0000803682,-0.0000115486
5,600,0.0072878144,0.0000224978,0.0000010161,0.0004137446,-0.0000708031,-0.0000088336
6,700,0.0071701154,0.0000196928,0.0000008887,0.0004235089,-0.0000589479,-0.0000072324
7,800,0.0071121501,0.0000177551,0.0000007967,0.0003014933,-0.0000452030,-0.0000079536
8,900,0.0070569506,0.0000161874,0.0000007276,0.0004398138,-0.0000380342,-0.0000065915
9,1000,0.0070013531,0.0000148049,0.0000006653,0.0003461559,-0.0000411439,-0.0000064464
