n,points,E,Em,E_1_5,Eb,A,Am,A_1_5,Ab
0,100,0.1308092516,0.0102456215,0.0094814185,0.0020947194,0.0676960000,-0.0051360000,-0.0047520000,0.0584715018
1,200,0.1341101970,0.0052012192,0.0048501048,0.0020623491,0.0694680000,-0.0026040000,-0.0024280000,0.0580591424
2,300,0.1356389027,0.0033678263,0.0031867904,0.0020699915,0.0702897778,-0.0016853333,-0.0015946667,0.0581123808
3,400,0.1363531857,0.0024405092,0.0023066729,0.0020664690,0.0706740000,-0.0012210000,-0.0011520000,0.0580400086
4,500,0.1360425399,0.0020213775,0.0019203596,0.0020683773,0.0705068800,-0.0010112000,-0.0009593600,0.0580500366
5,600,0.1368301739,0.0017032741,0.0015949234,0.0020662921,0.0709306667,-0.0008520000,-0.0007951111,0.0580379790
6,700,0.1369204745,0.0014414403,0.0013579069,0.0020671109,0.0709792653,-0.0007203265,-0.0006785306,0.0580413131
7,800,0.1368744589,0.0012850869,0.0012056370,0.0020678189,0.0709545000,-0.0006427500,-0.0006025000,0.0580437659
8,900,0.1372432277,0.0011339006,0.0010762539,0.0020684954,0.0711529877,-0.0005671111,-0.0005378765,0.0580377567
9,1000,0.1375264142,0.0010109447,0.0009495345,0.0020669276,0.0713054400,-0.0005052800,-0.0004748800,0.0580239032
