n,points,E,Em,E_1_5,Eb,A,Am,A_1_5,Ab
0,100,0.9827682921,0.9833502268,0.9834951508,0.9819123323,-0.1312696000,-0.1290340000,-0.1284712000,-0.1344904000
1,200,0.9824108216,0.9826938345,0.9827670056,0.9819638323,-0.1326242000,-0.1315529000,-0.1312745000,-0.1342988000
2,300,0.9825106428,0.9827353365,0.9827818015,0.9822418790,-0.1322473333,-0.1313950667,-0.1312181333,-0.1332596000
3,400,0.9824616793,0.9826339987,0.9826723847,0.9822619888,-0.1324323250,-0.1317801250,-0.1316344000,-0.1331841250
4,500,0.9824546875,0.9825823523,0.9826133286,0.9822860894,-0.1324587200,-0.1319759360,-0.1318585280,-0.1330936160
5,600,0.9823712065,0.9824814922,0.9825066575,0.9822332783,-0.1327734667,-0.1323575000,-0.1322624000,-0.1332918667
6,700,0.9824126263,0.9825077415,0.9825289634,0.9822972326,-0.1326173959,-0.1322583020,-0.1321780490,-0.1330517469
7,800,0.9823607236,0.9824375783,0.9824555985,0.9822516373,-0.1328129375,-0.1325232875,-0.1324552813,-0.1332229812
8,900,0.9823527629,0.9824274183,0.9824441504,0.9822641451,-0.1328429037,-0.1325616148,-0.1324984889,-0.1331760296
