n,points,E,Em,E_1_5,Eb,A,Am,A_1_5,Ab
0,100,20.7109894464,17.7802834176,0.4236952500,0.6235988382,0.8763849346,0.9376761607,0.0049749372,0.9823332108
1,200,31.1957438232,26.5275295862,0.3959723442,0.6317694569,0.9150334293,0.9738585184,0.0061364302,0.9851631606
2,300,39.1229087809,33.0731936987,0.3800486144,0.6340980442,0.9270227716,0.9843540867,0.0036888782,0.9844917913
3,400,45.7914934622,38.4854243025,0.3700673373,0.6344000130,0.9271388989,0.9877629764,0.0022721545,0.9853222834
4,500,51.4705074029,42.9169312636,0.3273411781,0.6334364667,0.9298454695,0.9822064632,0.0016798408,0.9846996507
5,600,56.5462969548,46.9616000000,0.3374337780,0.6330502590,0.9229732996,0.9789790600,0.0016996164,0.9849748550
6,700,61.3534446747,50.8058849499,0.3400828689,0.6333991503,0.9238836721,0.9789515159,0.0014244475,0.9848051121
7,800,65.7007211614,54.5198647950,0.3330821980,0.6324920205,0.9278860860,0.9814247704,0.0009628307,0.9844927111
8,900,70.5753693769,58.2021511659,0.3218633135,0.6327193576,0.9391666944,0.9868142755,0.0009402180,0.9846512551
9,1000,74.0431927109,61.0523043077,0.3224764500,0.6330477620,0.9287768780,0.9810295063,0.0008660307,0.9847904161
