n,points,E,Em,E_1_5,Eb,A,Am,A_1_5,Ab
0,100,0.9834105600,0.9846240000,0.9909064704,0.9909064704,-0.1288000000,-0.1240000000,-0.0953600000,-0.0953600000
1,200,0.9890001856,0.9908682864,0.9941874624,0.9941935600,-0.1048800000,-0.0955600000,-0.0762400000,-0.0762000000
2,300,0.9934137758,0.9942886713,0.9964488995,0.9964467804,-0.0811555556,-0.0755733333,-0.0595911111,-0.0596088889
3,400,0.9946885056,0.9954112924,0.9970807591,0.9970807591,-0.0728800000,-0.0677400000,-0.0540300000,-0.0540300000
4,500,0.9958233250,0.9962455459,0.9976235545,0.9976216822,-0.0646272000,-0.0612736000,-0.0487488000,-0.0487680000
5,600,0.9961034662,0.9965639561,0.9977834736,0.9977847289,-0.0624222222,-0.0586177778,-0.0470800000,-0.0470666667
6,700,0.9967458796,0.9972066402,0.9982533742,0.9982541928,-0.0570448980,-0.0528522449,-0.0417926531,-0.0417828571
7,800,0.9971396222,0.9976053658,0.9984995998,0.9985003744,-0.0534825000,-0.0489350000,-0.0387350000,-0.0387250000
8,900,0.9974464820,0.9978142874,0.9986140282,0.9986141753,-0.0505323457,-0.0467516049,-0.0372286420,-0.0372266667
9,1000,0.9976394395,0.9979545004,0.9986813225,0.9986819034,-0.0485856000,-0.0452272000,-0.0363136000,-0.0363056000
