n,points,E,Em,E_1.5,E_lim,A,Am,A_1.5,A_lim
0,100,14.366354072400002,11.186602376400002,8.210465049600000,0.020718495068919,0.515602489908648,0.511622540160222,-0.205365407018807,0.743480184295675
1,200,20.372152494400009,16.030815891225007,11.221085590225002,0.020573343556937,0.506149686950406,0.518916283012003,-0.200809386670544,0.740975611788216
2,300,25.865977578967893,20.045065352834559,13.745070384933332,0.020514204523665,0.521476726793883,0.531928548302094,-0.205309126170489,0.739413798336432
3,400,29.951808834314065,23.205348980625001,15.627672837656251,0.020494543146963,0.524817745208695,0.530835209245770,-0.207490149992114,0.739022831966187
4,500,33.281114284511389,25.745823759925784,17.360994743847041,0.020468159166015,0.518123648841296,0.525003847675631,-0.204279358117658,0.738822639379355
