n,points,E,Em,E_1_5,Eb,A,Am,A_1_5,Ab
0,100,0.0139845450,0.0001788882,0.0000063879,0.0407929871,0.1071884172,0.0044987782,0.0019434158,0.1157664302
1,200,0.0135732771,0.0000499574,0.0000013686,0.0409910896,0.1112293581,0.0027028705,0.0010178372,0.1155012806
2,300,0.0135430610,0.0000233095,0.0000005832,0.0417517744,0.1126278710,0.0019016210,0.0006897683,0.1158877811
3,400,0.0135665131,0.0000136798,0.0000003233,0.0407525702,0.1134102571,0.0014804609,0.0005244681,0.1152424674
4,500,0.0135216339,0.0000088953,0.0000002044,0.0407381328,0.1138459867,0.0012010242,0.0004223010,0.1148442989
5,600,0.0134999430,0.0000063169,0.0000001402,0.0407003772,0.1139477286,0.0010085123,0.0003527431,0.1147820652
6,700,0.0134956218,0.0000047164,0.0000001024,0.0409642882,0.1142018155,0.0008737866,0.0003031931,0.1149707021
7,800,0.0134726553,0.0000036459,0.0000000780,0.0406388148,0.1141186622,0.0007690221,0.0002659040,0.1146733130
8,900,0.0134878706,0.0000028942,0.0000000613,0.0406074534,0.1142243984,0.0006851015,0.0002361766,0.1147228299
9,1000,0.0134705330,0.0000023625,0.0000000496,0.0406741420,0.1142670344,0.0006199364,0.0002132096,0.1146663353
