n,points,E,Em,E_1_5,Eb,A,Am,A_1_5,Ab
0,100,0.4788320257,0.4621741280,0.4050779133,0.4055598765,-0.4950136000,-0.4918515260,-0.4257273476,-0.4257422222
1,200,0.4889294538,0.4756802725,0.4295959941,0.4299359290,-0.4874607005,-0.4841779711,-0.4349508608,-0.4350217547
2,300,0.5018581584,0.4896407471,0.4490215478,0.4492770708,-0.4896344011,-0.4865254284,-0.4451022780,-0.4451711737
3,400,0.5106670096,0.4995777504,0.4630698307,0.4632891327,-0.4919615392,-0.4891558323,-0.4526939737,-0.4527625423
4,500,0.5182268432,0.5079319676,0.4742621684,0.4744522575,-0.4923262123,-0.4897000720,-0.4567671679,-0.4568296862
5,600,0.5221988517,0.5126426900,0.4813843684,0.4815505472,-0.4929329869,-0.4905554884,-0.4602353986,-0.4602928698
6,700,0.5246077258,0.5154941746,0.4860465141,0.4861952006,-0.4923072734,-0.4900365010,-0.4618549322,-0.4619069788
7,800,0.5272995078,0.5187641186,0.4908861050,0.4910218192,-0.4929652914,-0.4908324752,-0.4643312198,-0.4643795135
8,900,0.5295578661,0.5213466858,0.4947513102,0.4948753750,-0.4927717399,-0.4907324127,-0.4656782541,-0.4657233615
9,1000,0.5298903904,0.5220705434,0.4966202717,0.4967340213,-0.4926304832,-0.4906634712,-0.4668181023,-0.4668599331
