n,points,E,Em,E_1_5,A,Am,A_1_5
0,100,0.0042076456,0.0006511210,0.0000136854,0.0090309063,0.0033778414,0.0008121314
1,200,0.0003995951,0.0000308788,0.0000006359,0.0036871069,0.0008841209,0.0002071776
2,300,0.0001450962,0.0000083999,0.0000001705,0.0023110608,0.0004207692,0.0000959850
3,400,0.0000647975,0.0000041188,0.0000000694,0.0016605172,0.0002421859,0.0000544372
4,500,0.0000538323,0.0000059553,0.0000000690,0.0013174519,0.0001590947,0.0000352616
5,600,0.0000257249,0.0000007038,0.0000000127,0.0010660978,0.0001073957,0.0000240684
6,700,0.0000271673,0.0000006503,0.0000000096,0.0009119019,0.0000810885,0.0000179666
7,800,0.0000122241,0.0000003372,0.0000000050,0.0007815770,0.0000619469,0.0000137287
8,900,0.0000117399,0.0000002027,0.0000000033,0.0006969338,0.0000495396,0.0000109393
9,1000,0.0000072719,0.0000001277,0.0000000019,0.0006227123,0.0000401474,0.0000088292
