n,points,E,Em,E_1.5,E_lim,A,Am,A_1.5,A_lim
0,100,55.952719257599867,39.752935833599970,34.725788697599995,7.092266868783171,-2.012262592804460,-1.248112241106555,-0.300884200981043,0.033954291193689
1,200,93.117367609600365,64.148760897600113,57.032866361600007,6.868033515803870,-2.181465651895451,-1.308540829473765,-0.296805725012172,0.000683627807105
2,300,124.899854680177043,85.195040301511241,75.664448110301223,6.845770988546666,-2.334137667995675,-1.414684781787832,-0.382106298079608,0.001001969155630
