n,points,E,Em,E_1_5,Eb,A,Am,A_1_5,Ab
0,100,97.3576454400,97.4777760000,98.0997405696,98.0997405696,-1.2815438190,-1.2337844220,-0.9488200200,-0.9488200200
1,200,196.8110369344,197.1827889936,197.8433050176,197.8445184400,-1.4795144695,-1.3480396902,-1.0754975511,-1.0749332817
2,300,297.0307189649,297.2923127154,297.9382209435,297.9375873293,-1.4033107407,-1.3067850950,-1.0304266381,-1.0307340446
3,400,396.8807137344,397.1691056676,397.8352228809,397.8352228809,-1.4557768598,-1.3531054402,-1.0792484047,-1.0792484047
4,500,496.9158391851,497.1265274256,497.8141536948,497.8132194058,-1.4436622926,-1.3687485432,-1.0889657043,-1.0893945998
5,600,596.6659762375,596.9418097209,597.6723006864,597.6730526044,-1.5277512109,-1.4346394248,-1.1522583537,-1.1519320273
6,700,696.7253698522,697.0474415063,697.7791085309,697.7796808014,-1.5081877031,-1.3973397918,-1.1049395771,-1.1046805867
7,800,796.7145581328,797.0866872542,797.8011802202,797.8017991256,-1.5117677954,-1.3832254862,-1.0949062881,-1.0946236222
8,900,896.7043873541,897.0350444047,897.7540113668,897.7541435847,-1.5151279305,-1.4017687382,-1.1162386094,-1.1161793831
9,1000,996.6418000332,996.9565458798,997.6826411326,997.6832215052,-1.5356431769,-1.4294943582,-1.1477625484,-1.1475096927
