n,points,E_EM,E_Mil,E_2star,E_lim,E_1_5,E_A3,A_EM,A_Mil,A_2star,A_lim,A_1_5,A_A3
0,100,20.587842950399999,12.629681697599999,12.138430233599999,0.000513647941358,12.168676040399999,23.841225896399997,0.064475185924509,-0.052137341704387,0.054127316578600,0.092923965454435,-0.020098746229554,-0.043978444720113
1,200,31.664612364899998,18.358019923600001,17.893340336900000,0.000516625916576,17.852243190225000,36.876406544399998,0.090706312349252,-0.041473803780218,0.068699804220973,0.092996752091595,-0.006841766950138,-0.047680767611271
2,300,40.641155844819750,23.168052461377776,22.707054268760494,0.000517376513697,22.608373896044444,47.505536348271605,0.110512642123586,-0.033545735943634,0.079464584113900,0.092960866251286,0.003573600736263,-0.059752141342899
3,400,47.553506030625002,26.959197566306251,26.487585551306250,0.000516273464916,26.385869578556250,56.229737038256253,0.096379299514989,-0.035106035004683,0.077552876759989,0.093004431421322,-0.000649186991552,-0.072958630358238
4,500,54.023118541711362,30.741446106458241,30.319128504717440,0.000515295557648,30.255362849042562,64.332273097024000,0.104864952623076,-0.030755382321799,0.080614485562832,0.093033436348531,0.002269572083015,-0.066300097858148
5,600,59.919402248933331,33.790494989166667,33.233979015913889,0.000515356929671,33.060137539111423,71.358526238891670,0.105892901661170,-0.033040543276405,0.076564320654089,0.093022111103754,-0.001889973463136,-0.083661918839391
6,700,65.174644713036230,36.765701608287216,36.220316640211415,0.000515753517826,36.022750834085798,77.860702849503369,0.104675305668655,-0.033582427962975,0.078376984027984,0.093014264812511,0.000431650745025,-0.078646765743624
7,800,70.747534050984470,39.850946633859763,39.252094471799317,0.000515378705515,39.117541603386819,84.150563332813377,0.111379190226574,-0.034290904628405,0.079190613084403,0.093016050002136,0.000521165217176,-0.081292940570637
8,900,75.349141385209577,42.227786397497269,41.515928464041700,0.000515226588266,41.424584639896906,89.741481516648619,0.107125621309963,-0.035217455464512,0.076712901728669,0.093014733819022,-0.001873032632441,-0.079015325241274
