n,points,E,Em,E_1_5,Eb,A,Am,A_1_5,Ab
0,10,0.0608794083,0.0684090212,0.0619332072,0.0626272535,0.2285064812,0.2432857563,0.2444287252,0.2402385815
1,20,0.0984242277,0.1085592735,0.1022249435,0.1032252612,0.2944032799,0.3085105768,0.3104908314,0.3069896013
2,30,0.1222211976,0.1291089951,0.1264503197,0.1265788886,0.3065750332,0.3132631551,0.3160353381,0.3135457220
3,40,0.1268781820,0.1344006991,0.1309938278,0.1314841063,0.3103891826,0.3188301973,0.3209031736,0.3182578914
4,50,0.1372144390,0.1424961984,0.1394661081,0.1399735406,0.3096011409,0.3145930808,0.3161893029,0.3144868730
5,60,0.1395720030,0.1426201601,0.1407244962,0.1412215196,0.3114663496,0.3129392335,0.3148195199,0.3139185258
6,70,0.1464740222,0.1513431151,0.1490227306,0.1496440386,0.3163819108,0.3199409414,0.3211207167,0.3202526197
7,80,0.1476682465,0.1512789600,0.1492895173,0.1494313309,0.3149624885,0.3172864822,0.3185302893,0.3172952955
8,90,0.1560152147,0.1596170632,0.1579650071,0.1581716677,0.3199699675,0.3228350349,0.3241078248,0.3229485602
9,100,0.1560002931,0.1582191696,0.1568635934,0.1570872175,0.3170850466,0.3187807825,0.3200962105,0.3190729455
