n,points,E,Em,E_1_5,Eb,A,Am,A_1_5,Ab
0,100,0.0491952558,0.0889580674,0.0929045489,0.0937675655,0.1314641559,0.2349525867,0.2378083726,0.2397344036
1,200,0.0525183175,0.0955768791,0.0980112947,0.0984611549,0.1339793498,0.2427741859,0.2445122951,0.2455310685
2,300,0.0540015811,0.0982953227,0.1000528886,0.1003556689,0.1351309762,0.2458528793,0.2470913805,0.2477832975
3,400,0.0547189428,0.0996596074,0.1010338366,0.1012618145,0.1356066286,0.2473547331,0.2483141706,0.2488380577
4,500,0.0552320767,0.1005702901,0.1016986147,0.1018813837,0.1359493337,0.2483884075,0.2491720086,0.2495937173
5,600,0.0556064459,0.1012323490,0.1021908369,0.1023433289,0.1362105524,0.2490653776,0.2497273541,0.2500800875
6,700,0.0558550093,0.1016633006,0.1024951739,0.1026258922,0.1363755826,0.2495525251,0.2501250934,0.2504283635
7,800,0.0560478490,0.1019991778,0.1027345500,0.1028489701,0.1364691046,0.2498656998,0.2503706806,0.2506365302
