n,points,E,Em,E_1.5,E_lim,A,Am,A_1.5,A_lim
0,100,38.142070559999901,30.824984678399925,16.916430009599999,64.066718461853796,1.707398442074989,1.499645065207122,-0.026267668339615,0.027649035485209
1,200,57.930303168900245,44.850525096900178,24.643231545600003,64.793704416167856,1.772793510564544,1.532414729471049,0.030470549716078,-0.033146795571475
2,300,74.209313595733150,56.347584885510855,30.281979862044441,63.801873040296840,1.861961261036379,1.577225976566393,0.027205476572844,-0.029297554843693
3,400,88.999802600624392,67.090902365024817,36.328678430625004,64.055002355731844,1.913104126642254,1.623067353801186,0.016479362093237,0.019275377732409
4,500,100.681209199780568,75.251065980879233,39.553525425984006,64.021412488863234,1.933889862484273,1.629481273019353,0.028414327653492,-0.001277538289604
5,600,111.813950802498567,83.088976777342268,43.754334200277775,63.896073627350567,1.944497158008061,1.638239875391999,0.024882384442725,-0.012372367515615
