n,points,Eb,Ab
0,100,0.0011597823,0.0162853340
1,200,0.0011589505,0.0161757822
2,300,0.0011574616,0.0161851057
3,400,0.0011820074,0.0163723102
4,500,0.0011759353,0.0162322697
5,600,0.0011741354,0.0162335098
6,700,0.0011728553,0.0162264882
7,800,0.0011812501,0.0162534459
8,900,0.0011684379,0.0162038356
9,1000,0.0011744299,0.0162453025
