n,points,E_EM,E_Mil,E_2star,E_lim,E_1_5,A_EM,A_Mil,A_2star,A_lim,A_1_5
0,600,60.009220194113894,33.773068721433333,33.243926900464196,0.000515450973933,33.064798568316050,0.099570328565067,-0.034835338219815,0.076795468487710,0.093027085057556,-0.001196529962273
1,700,65.501347752369853,36.831941376215909,36.183016178910286,0.000515031614414,36.078669507004747,0.108560162373884,-0.032848621696431,0.076046070004847,0.093016772157819,-0.001230204623322
2,800,70.524460564097268,39.654232527056251,38.934564510387595,0.000515306358499,38.759988155822761,0.110716692069148,-0.033707906249870,0.078731281028587,0.093013437529554,-0.001104163595711
3,900,75.324219125025394,42.256473140722512,41.535708892067916,0.000515167360332,41.332244161140615,0.113440628564796,-0.031086419065690,0.080784711799193,0.093014769776794,0.001502868080575
