n,points,E,Em,E_1.5,Enm,A,Am,A_1.5,Anm
0,100,0.8734917376,0.8586240000,0.8749670400,0.8326208256,-0.3556800000,0.3760000000,0.3536000000,0.4091200000
1,200,0.8625073600,0.8353912816,0.8460536304,0.8233310976,-0.3708000000,0.4057200000,0.3923600000,0.4203200000
2,300,0.8553837413,0.8340578304,0.8409372900,0.8251942482,-0.3802844444,0.4073600000,0.3988266667,0.4180977778
