n,points,E,Em,E_1_5,Eb,A,Am,A_1_5,Ab
0,100,0.1179131552,0.1195971219,0.1199487282,0.2740758481,0.2197014701,0.2201199267,0.2231930480,0.9543763570
1,110,0.1205247140,0.1219672603,0.1223633100,0.2832000637,0.2234262476,0.2233580395,0.2264005646,0.9494000978
2,120,0.1237348885,0.1241115894,0.1246861495,0.2800068829,0.2216023436,0.2215237297,0.2240422048,0.9369402009
3,130,0.1259066585,0.1273679928,0.1275672244,0.2814079335,0.2230935322,0.2235740964,0.2257760049,0.9232441446
4,140,0.1227179935,0.1234337500,0.1237558647,0.2809998251,0.2182266682,0.2175094469,0.2196389290,0.9086183204
5,150,0.1230715014,0.1232424795,0.1234076188,0.2760111157,0.2190620747,0.2182743465,0.2203521324,0.8882282275
6,160,0.1264644450,0.1275135806,0.1278189912,0.2726661519,0.2214350948,0.2217719595,0.2237102297,0.8732419309
7,170,0.1305311740,0.1312655417,0.1316660478,0.2668988122,0.2242034143,0.2242989207,0.2262454816,0.8513847848
8,180,0.1278775250,0.1281619370,0.1285801447,0.2603480005,0.2217317688,0.2214835283,0.2233507467,0.8332579615
9,190,0.1291308361,0.1293035777,0.1295116595,0.2519337555,0.2226630992,0.2223479498,0.2240784575,0.8158810026
10,200,0.1276620720,0.1283436382,0.1285823950,0.2461101694,0.2210487976,0.2208462480,0.2224747367,0.7966758062
