n,points,E,Em,E_1.5,A,Am,A_1.5
0,100,0.918524006400000093,0.886350105600000049,0.892625817600000038,-0.285440000000000027,0.337120000000000031,0.327680000000000027
1,200,0.908796000000000048,0.884046129600000063,0.887989297600000005,-0.302000000000000046,0.340520000000000045,0.334680000000000033
2,300,0.908500472098765388,0.882896118202469049,0.885268761600000009,-0.302488888888888863,0.342204444444444422,0.338719999999999966
3,400,0.905320710000000028,0.887050233600000015,0.888751068400000066,-0.307700000000000029,0.336080000000000045,0.333540000000000003
4,500,0.902304246005759980,0.887580884131839998,0.888950036029440005,-0.312563199999999985,0.335289599999999965,0.333241599999999971
5,600,0.900239479387654251,0.889498421017283936,0.890715394350617196,-0.315848888888888846,0.332417777777777756,0.330582222222222222
6,700,0.899167570749521028,0.889296315164681328,0.890304397050562191,-0.317541224489795881,0.332721632653061206,0.331203265306122430
7,800,0.900098174743750090,0.889759399375000037,0.890637510000000021,-0.316072500000000034,0.332025000000000015,0.330700000000000049
8,900,0.898827626809084013,0.889984446542661178,0.890743145170309503,-0.318076049382716053,0.331685925925925940,0.330540246913580249
9,1000,0.898317586421759962,0.889917253916159945,0.890633806128639960,-0.318876799999999960,0.331787200000000004,0.330705599999999988
