n,points,E,Em,E_1_5,Eb,A,Am,A_1_5,Ab
0,100,0.9837427300,0.9563490908,0.9582729500,0.9579913984,-0.1275040000,0.2089280000,0.2042720000,0.2049600000
1,200,0.9792904875,0.9620311393,0.9629637673,0.9627756999,-0.1439080000,0.1948560000,0.1924480000,0.1929360000
2,300,0.9772958055,0.9644001930,0.9650339919,0.9649122166,-0.1506791111,0.1886791111,0.1869920000,0.1873173333
3,400,0.9755715604,0.9660489894,0.9665281998,0.9664436221,-0.1562960000,0.1842580000,0.1829530000,0.1831840000
4,500,0.9747372118,0.9668648170,0.9672608901,0.9671920680,-0.1589427200,0.1820307200,0.1809395200,0.1811296000
5,600,0.9741079004,0.9672369084,0.9675711936,0.9675116198,-0.1609102222,0.1810057778,0.1800800000,0.1802453333
6,700,0.9737679536,0.9678199162,0.9680978993,0.9680477225,-0.1619631020,0.1793880816,0.1786115918,0.1787520000
7,800,0.9734366232,0.9680393206,0.9682916983,0.9682452055,-0.1629827500,0.1787755000,0.1780682500,0.1781987500
8,900,0.9731737984,0.9681878866,0.9684080535,0.9683675946,-0.1637870617,0.1783595062,0.1777412346,0.1778550123
9,1000,0.9728574639,0.9684844909,0.9686861777,0.9686523060,-0.1647499200,0.1775260800,0.1769571200,0.1770528000
