n,points,E,Em,E_1_5,Eb,A,Am,A_1_5,Ab
0,100,0.0157091060,0.0000407197,0.0000001938,0.0916014907,0.1002565568,-0.0024064091,0.0002449211,0.0948167929
1,200,0.0125471163,0.0000076597,0.0000000318,0.0954703063,0.0979105162,-0.0012517867,0.0001182341,0.0948397659
2,300,0.0115960409,0.0000030687,0.0000000122,0.1033089618,0.0975593596,-0.0008629617,0.0000777188,0.0967003501
3,400,0.0112200685,0.0000016682,0.0000000064,0.1027302926,0.0976075303,-0.0006537102,0.0000580459,0.0972323026
4,500,0.0109855721,0.0000010257,0.0000000039,0.0997616037,0.0976776128,-0.0005303138,0.0000462890,0.0968121203
5,600,0.0108301394,0.0000006876,0.0000000026,0.1054276466,0.0976599901,-0.0004429653,0.0000384934,0.0972185543
6,700,0.0107261140,0.0000004952,0.0000000019,0.1055994996,0.0976741412,-0.0003809568,0.0000328968,0.0966967024
7,800,0.0106658477,0.0000003739,0.0000000014,0.1042168024,0.0975591925,-0.0003351746,0.0000287092,0.0970685850
8,900,0.0106070752,0.0000002913,0.0000000011,0.1043249698,0.0975867347,-0.0002982492,0.0000255331,0.0966932128
9,1000,0.0105555145,0.0000002331,0.0000000009,0.1036488166,0.0974413717,-0.0002689747,0.0000229216,0.0969654067
