n,points,E,Em,E_1.5,A,Am,A_1.5
0,100,55.0851840000,38.1314140416,32.5901638656,-1.9103758792,-1.1446335476,-0.2005894673
1,200,93.5371038224,64.6305437184,56.3365978384,-2.1910582324,-1.3723032761,-0.3628252494
2,300,125.3711963784,83.6711123867,74.7421141725,-2.2966340732,-1.4122255297,-0.3787248264
3,400,156.0147864576,103.5068250384,92.5289803536,-2.4321540951,-1.4437918692,-0.4082886802
4,500,181.4632270371,121.4082699789,108.0626339660,-2.5241930518,-1.5141441217,-0.4404756906
5,600,203.4572621464,135.3033327901,122.2414673361,-2.5298994421,-1.5065399980,-0.4641448499
6,700,228.5722385937,151.4425830979,136.3893765789,-2.6300479894,-1.5429787532,-0.5062399938
