n,points,E,Em,E_1.5,A,Am,A_1.5
0,100,0.0016098354,0.0016219037,0.0015944331,-0.0310872841,-0.0331314125,-0.0342038052
1,200,0.0008477580,0.0008474997,0.0008394863,-0.0236803562,-0.0249769358,-0.0253747607
2,300,0.0005819973,0.0005771455,0.0005740604,-0.0197426180,-0.0206819580,-0.0208842294
3,400,0.0004360020,0.0004338839,0.0004319159,-0.0172840390,-0.0180305926,-0.0181717176
4,500,0.0003504044,0.0003480055,0.0003469251,-0.0156047183,-0.0162211943,-0.0163199931
5,600,0.0002951920,0.0002937606,0.0002928430,-0.0144065283,-0.0149227017,-0.0149988412
6,700,0.0002548628,0.0002534691,0.0002528135,-0.0134368530,-0.0138909035,-0.0139514642
7,800,0.0002230503,0.0002219367,0.0002214359,-0.0126143974,-0.0130148611,-0.0130629101
8,900,0.0001992222,0.0001981452,0.0001977825,-0.0119586702,-0.0123187031,-0.0123599220
