n,points,E,Em,E_1.5,Enm,A,Am,A_1.5,Anm
0,100,98.9992675584,98.6623545600,97.8926674176,97.9060287744,-0.0270636583,0.5810726633,1.0522987135,1.0459307939
1,200,198.8331023616,198.8488488336,198.2448825600,198.1034862144,-0.4085310740,0.3887816436,0.8689749363,0.9468441190
2,300,298.8673024711,298.7876611796,298.0936236907,297.7595970146,-0.3642767202,0.4608023659,0.9520379768,1.1137338037
3,400,398.7739904400,398.8673991729,398.2567485456,397.9462680921,-0.4754046277,0.3641439648,0.8621203248,1.0265144460
4,500,498.8102396809,498.7933122519,498.0715034665,497.6071811082,-0.4356148748,0.4546292425,0.9635852497,1.1801774832
5,600,598.7550459753,598.8354694487,598.1527573144,597.7160529479,-0.4949283026,0.4056236572,0.9204578673,1.1331138743
