n,points,E,Em,E_1.5,E_b,A,Am,A_1.5,A_b
0,100,0.042378493534364,0.043007139481900,0.042935158565880,0.042361678110194,0.251181969587430,0.252024573697928,0.252871354496363,0.251211420009219
1,200,0.045280700452376,0.045369439137899,0.045372182303528,0.045039125120078,0.251946831285512,0.251995323176230,0.252536014812988,0.251839363450337
2,300,0.046002859558768,0.046191023823022,0.046196913473326,0.046038079966773,0.251699840775664,0.251909063666439,0.252303152121807,0.251865697716777
3,400,0.046091523322159,0.046262507066571,0.046257159174448,0.046255755310949,0.252384452828324,0.252704428947986,0.252987587508286,0.252866538761979
4,500,0.046695033293940,0.046852838398582,0.046848098727151,0.046774922074064,0.251463556259251,0.251590590911594,0.251816076891105,0.251724793330695
5,600,0.046917525915150,0.046988549083683,0.046986643951234,0.046915691223639,0.250936030852405,0.251032117694154,0.251215321830258,0.251064605834612
