n,points,E,Em,E_1.5,A,Am,A_1.5
0,100,1.7101209600,1.6862630656,1.6964375296,-0.7648000000,-0.0331200000,-0.0555200000
1,200,1.7013291456,1.6435468400,1.6570582384,-0.7911200000,-0.0146000000,-0.0279600000
2,300,1.6922213828,1.6458935890,1.6538152909,-0.7983822222,-0.0107377778,-0.0192711111
