n,points,E,Em,E_1_5,Eb,A,Am,A_1_5,Ab
0,10,0.0930099125,0.0932389923,0.0927117293,0.0234364520,0.6117615216,0.6216972504,0.6274105843,0.8694010946
1,20,0.1570862420,0.1568881214,0.1571284422,0.0829906678,0.7133182986,0.7216676028,0.7224598380,1.0727018344
2,30,0.2020411217,0.2016116154,0.2022554586,0.1457366903,0.7087702370,0.7153010553,0.7149533591,1.1488637398
3,40,0.2537434890,0.2534997022,0.2538707282,0.1944150342,0.7512662763,0.7561072364,0.7554877176,1.1366887772
4,50,0.2838486312,0.2844848075,0.2850224836,0.2425104295,0.7226403243,0.7267043643,0.7260707368,1.1231629752
5,60,0.3002357853,0.3004436448,0.3008975416,0.2609020017,0.7188199050,0.7225513213,0.7219732256,1.0643234721
6,70,0.3216971530,0.3213680865,0.3221107749,0.2541928209,0.7372760184,0.7397919616,0.7393194760,1.0105216119
7,80,0.3464459039,0.3461910917,0.3469313658,0.2515207331,0.7296831863,0.7320825420,0.7317551878,0.9482348661
8,90,0.3670338862,0.3670374303,0.3675666432,0.2372573561,0.7383556815,0.7406866214,0.7403023988,0.8867786109
9,100,0.3720988611,0.3718285957,0.3723135078,0.2182442409,0.7367154515,0.7383957197,0.7380254736,0.8284743674
