n,points,E,Em,E_1.5,A,Am,A_1.5
0,100,34.0303884624,22.5362392596,17.9792819316,-1.1474195125,-0.8443463391,-0.1048716759
1,200,51.8966209152,32.8991173025,25.9159908900,-1.2235477452,-0.8739122939,-0.1170859086
2,300,66.2832366011,40.5873546442,31.8447387371,-1.2513366449,-0.8746483867,-0.1185052115
3,400,79.0571869063,47.5549157918,37.1603597906,-1.2835675259,-0.8882126481,-0.1243692463
4,500,89.5111154155,53.3770125826,41.6943525046,-1.2852211423,-0.8863661870,-0.1185896090
5,600,98.6423205123,58.5576241346,45.4600059274,-1.2939111849,-0.8876756658,-0.1214205973
