n,points,E,Em,E_1.5,A,Am,A_1.5
0,100,1.7859822336,1.8090158016,1.8077960304,-0.6139200000,-0.0272800000,-0.0276400000
1,200,1.7973059559,1.7925317751,1.7936175600,-0.6377100000,-0.0144300000,-0.0162000000
2,300,1.7961682766,1.7846254585,1.7848019326,-0.6394933333,-0.0038133333,-0.0049733333
3,400,1.7924574700,1.7864362787,1.7875478400,-0.6469950000,-0.0088725000,-0.0096000000
4,500,1.7906854881,1.7854247169,1.7854274629,-0.6469616000,-0.0042992000,-0.0050336000
5,600,1.7922531303,1.7890635925,1.7890875092,-0.6455800000,-0.0017533333,-0.0024133333
