n,points,E,Em,E_1_5,Eb,A,Am,A_1_5,Ab
0,100,0.2881069503,0.2879774127,0.2882179720,0.2881204655,0.3535779654,0.3530859254,0.3539385216,0.3537707485
1,200,0.3335563018,0.3338947108,0.3340352008,0.3339749975,0.3477448920,0.3478440898,0.3482724510,0.3481893716
2,300,0.3521559323,0.3519580145,0.3520673482,0.3520217478,0.3463636118,0.3461498278,0.3464695536,0.3464100529
3,400,0.3666190100,0.3666350873,0.3667132696,0.3666780829,0.3462639887,0.3461732875,0.3464086113,0.3463649144
4,500,0.3804347213,0.3804129193,0.3804657607,0.3804385969,0.3477531854,0.3476472866,0.3478324148,0.3477981486
5,600,0.3816104471,0.3817905122,0.3818356402,0.3818121998,0.3456533287,0.3456430570,0.3457980862,0.3457694813
6,700,0.3896864639,0.3897456256,0.3897817088,0.3897615453,0.3467828334,0.3467128564,0.3468456851,0.3468212042
7,800,0.3941250981,0.3941687759,0.3941990286,0.3941809629,0.3464612574,0.3464230714,0.3465387899,0.3465173565
8,900,0.3983494966,0.3983787721,0.3984019135,0.3983861653,0.3461509542,0.3460963857,0.3461983974,0.3461795019
9,1000,0.4021473549,0.4021991934,0.4022263045,0.4022113216,0.3464193382,0.3463808455,0.3464750075,0.3464577412
