n,points,E,Em,E_1_5,Eb,A,Am,A_1_5,Ab
0,10,0.0721337154,0.0776058055,0.0768409073,0.0591247969,0.1851695626,0.1915052231,0.2033297664,0.4517560413
1,20,0.0689709519,0.0704962822,0.0723241169,0.0848890059,0.1963759348,0.1957070064,0.2103059937,0.6802645965
2,30,0.0905175898,0.0940255270,0.0929187489,0.1089168314,0.2080787716,0.2121201111,0.2176675416,0.8159580642
3,40,0.0995395349,0.1016086551,0.1016914929,0.1371660025,0.2129843741,0.2141470795,0.2212778516,0.8922239348
4,50,0.1066519064,0.1105779132,0.1115305506,0.1751210496,0.2163112074,0.2191761057,0.2245129855,0.9396165373
5,60,0.1076665144,0.1093161293,0.1094600201,0.2057823371,0.2196578004,0.2193364091,0.2242149575,0.9557602446
6,70,0.1134260230,0.1141970146,0.1149991253,0.2227596075,0.2223889736,0.2215952477,0.2267062667,0.9669483602
7,80,0.1178602009,0.1182014255,0.1186732460,0.2495857959,0.2238779081,0.2222229697,0.2261955134,0.9661194534
8,90,0.1157847252,0.1163628278,0.1172863524,0.2597060444,0.2237385519,0.2230762100,0.2267114694,0.9587400673
9,100,0.1179131552,0.1195971219,0.1199487282,0.2740758481,0.2197014701,0.2201199267,0.2231930480,0.9543763570
