n,points,E,Em,E_1_5,Eb,A,Am,A_1_5,Ab
0,100,0.0847199584,0.0021226013,0.0000013674,0.0224275103,0.0530290799,0.0472916934,0.0000585402,0.0666756584
1,200,0.1239854965,0.0025707421,0.0000005251,0.0220907144,0.0646826513,0.0519830770,0.0000509275,0.0659932637
2,300,0.1492218321,0.0028224238,0.0000002931,0.0223474341,0.0713058315,0.0544930346,0.0000425841,0.0664166800
3,400,0.1664957502,0.0029860938,0.0000001892,0.0222950561,0.0747015647,0.0559422582,0.0000349315,0.0663469555
4,500,0.1790902996,0.0031045625,0.0000001329,0.0223349124,0.0771494143,0.0569439775,0.0000294362,0.0663614410
5,600,0.1890766106,0.0031979762,0.0000000990,0.0223696921,0.0791475476,0.0577119569,0.0000254761,0.0664342898
6,700,0.1976700124,0.0032750993,0.0000000771,0.0223620938,0.0806423247,0.0582867837,0.0000222574,0.0664382457
7,800,0.2048723007,0.0033380277,0.0000000619,0.0223493426,0.0822212903,0.0588014081,0.0000199720,0.0664332866
8,900,0.2110824690,0.0033918965,0.0000000509,0.0223724289,0.0837440571,0.0591878053,0.0000181141,0.0664790712
9,1000,0.2163501439,0.0034381122,0.0000000426,0.0223746686,0.0847247715,0.0595520303,0.0000164648,0.0664464350
